SR NO,UID,PLAYER NAME,JOIN DATE,METHOD,RANK,STATUS,DEAFULT SCYN,REASON,LEAVE DATE,KICKED SCORE,KICKED STATUS,LAST TOTAL POINTS,CURRENT TOTAL POINTS,THIS WEEK WAR TOTAL POINTS,LAST WEEK WAR TOTAL POINTS,POINTS,WAR POINTS,REQUEST FOR TEMPORARY BREAK,CHANGE NAME,GUILDMATES FRIEND,TOTAL DAYS,MIN POINTS,POINTS LIMIT
1,561857748,EVIL YT,Dec-12-2023,CREATOR,CO-LEADER,IN GUILD,FF,,,0,STAY IN GUILD AND COMPLATE YOUR POINTS GOOD LUCK,500000,500000,2298,2298,O,0,NO,NO,YES,460,18400,10000
2,2938763969,ᴍᴏᴏɴ_ʏᴛ࿐,Dec-12-2023,CREATOR,LEADER,IN GUILD,FF,,,0,STAY IN GUILD AND COMPLATE YOUR POINTS GOOD LUCK,5068,5068,,,O,0,NO,NO,YES,460,18400,10000
3,1128391563,NOOB BHAI,Dec-12-2023,INVITE BY EVIL YT,OFFICER,IN GUILD,FF,,,0,STAY IN GUILD AND COMPLATE YOUR POINTS GOOD LUCK,153774,153774,1015,1015,O,0,NO,NO,YES,460,18400,10010
4,1168073043,ABPATEL,Jan-1-2024,INVITE BY EVIL YT,HELPER,IN GUILD,FF,,,0,STAY IN GUILD AND COMPLATE YOUR POINTS GOOD LUCK,124810,124810,174,174,O,0,NO,,,440,17600,10000
5,1753245321,MISS JERRY,Jan-1-2024,INVITE BY EVIL YT,HELPER,IN GUILD,FF,,,0,STAY IN GUILD AND COMPLATE YOUR POINTS GOOD LUCK,23750,23750,593,593,O,0,NO,,,440,17600,10000
6,4644178265,NS ROCKEY,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT 2 DAY OFFLINE,May-21-2024,1,YOU CAN JOIN TODAY,3957,3957,23,23,O,0,NO,,,141,5640,10000
7,978039264,NOOB DADA 01,Apr-27-2024,INVITE BY EVIL YT,HELPER,KICKED,FF,30DAY OFFLINE,Nov-10-2024,0,STAY IN GUILD AND COMPLATE YOUR POINTS GOOD LUCK,7342,7342,83,83,O,0,NO,NO,,197,7880,10000
8,2710126584,CHINTAN%,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Jun-8-2024,1,YOU CAN JOIN TODAY,12740,12740,298,298,O,0,NO,NO,YES,159,6360,10000
9,5202001990,AK RAISTAR,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Apr-15-2024,1,YOU CAN JOIN TODAY,6224,6224,0,0,O,0,NO,,,105,4200,10000
10,611689141,ATOMIC AKSH,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Apr-15-2024,1,YOU CAN JOIN TODAY,3160,3160,0,0,O,0,NO,,,105,4200,10000
11,682695566,SHIVAM,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT,Apr-15-2024,1,YOU CAN JOIN TODAY,0,0,0,0,O,0,NO,,,105,4200,10000
12,803667876,ARYAN202013F,Dec-7-2024,INVITE BY RADHA YT,HELPER,IN GUILD,FF,test,Mar-30-2025,-10,Average player,2170,2170,0,,O,0,NO,NO,YES,99,3960,20000
13,1063372994,MR PRATIK,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT 5 DAY OFFLINE,Apr-22-2024,1,YOU CAN JOIN TODAY,1230,1230,0,0,O,0,NO,,,112,4480,10000
14,1202990998,CALL ME B2K,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT AND OFFLINE,Apr-15-2024,1,YOU CAN JOIN TODAY,280,280,0,0,O,0,NO,,,105,4200,10000
15,1295892781,ARHAN LALA,Jan-1-2024,RECOMMENDED,HELPER,KICKED,FF,KICK BY RADHA YT,Nov-10-2024,0,STAY IN GUILD AND COMPLATE YOUR POINTS GOOD LUCK,7902,7902,5,5,O,0,NO,,,314,12560,10000
16,1485453773,AKHIL 29,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,4 DAY OFFLINE,Sep-20-2024,1,YOU CAN JOIN TODAY,984,984,0,0,O,0,NO,,,263,10520,10000
17,1551116738,VISHNU129181,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT 1 DAY OFFLINE,Apr-11-2024,1,YOU CAN JOIN TODAY,240,240,0,0,O,0,NO,,,101,4040,10000
18,1706141057,NOBITA FF,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LEFT THE GUILD,Aug-15-2024,6,WARNING YOU HAVE TO NEED IMPROVEMENT,56308,56308,1911,1911,O,0,NO,NO,YES,227,9080,10000
19,1710216026,NG NOOB,Jan-1-2024,RECOMMENDED,HELPER,KICKED,FF,KICKED BY EVIL YT,Nov-10-2024,0,STAY IN GUILD AND COMPLATE YOUR POINTS GOOD LUCK,4164,4164,287,287,O,0,NO,,,314,12560,10000
20,1866347448,BABLU,Jan-1-2024,RECOMMENDED,MEMBER,KICKED,FF,LOW POINT 1 DAY OFFLINE,Apr-22-2024,1,YOU CAN JOIN TODAY,2000,2000,0,0,O,0,NO,,,112,4480,10000
